type,month
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
GP,MAY
